                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2391,                 1.4106,                 1.1833,                0.96352,                0.93302,                0.96552,                0.63533,                      0,                    inf,                      0,               0.070078,              0.0033247,              0.0033247
                      1,                 1.2197,                0.79563,                 1.1461,                0.97468,                 0.9288,                  0.966,                0.62619,                      0,                    inf,                      0,               0.039946,              0.0065262,              0.0065262
                      2,                 1.2343,                0.79917,                 1.1718,                0.81139,                0.76848,                0.83222,                0.43681,                      0,                    inf,                      0,              0.0096821,              0.0095957,              0.0095957
                      3,                  1.259,                0.79071,                  1.188,                0.96596,                0.92521,                0.95339,                0.63116,                      0,                    inf,                      0,               0.009406,               0.009406,               0.009406
                      4,                 1.2335,                0.72054,                   1.18,                0.95765,                0.92609,                0.95991,                0.63739,                      0,                    inf,                      0,               0.009406,               0.009406,               0.009406
                      5,                 1.2092,                0.68098,                 1.1662,                0.96838,                0.93217,                0.95762,                0.63963,                      0,                    inf,                      0,               0.009208,               0.009208,               0.009208
                      6,                 1.1912,                0.65152,                 1.1523,                0.97184,                0.93587,                0.96602,                0.65751,                      0,                    inf,                      0,                0.00901,                0.00901,                0.00901
                      7,                 1.1859,                0.63489,                 1.1519,                0.97244,                0.93965,                0.96027,                0.65078,                      0,                    inf,                      0,               0.008812,               0.008812,               0.008812
                      8,                 1.1751,                0.62042,                 1.1377,                 0.9844,                0.93424,                0.97159,                0.65135,                      0,                    inf,                      0,               0.008614,               0.008614,               0.008614
                      9,                 1.1645,                0.60406,                 1.1405,                0.94964,                0.94288,                0.93982,                0.63138,                      0,                    inf,                      0,               0.008416,               0.008416,               0.008416
                     10,                 1.1614,                0.59726,                 1.1353,                0.97808,                0.94584,                0.96711,                0.65779,                      0,                    inf,                      0,               0.008218,               0.008218,               0.008218
                     11,                 1.1455,                0.57785,                 1.1325,                0.95995,                0.95095,                0.95679,                0.66034,                      0,                    inf,                      0,                0.00802,                0.00802,                0.00802
                     12,                 1.1498,                 0.5731,                 1.1237,                 0.9807,                0.93913,                0.97193,                0.68221,                      0,                    inf,                      0,               0.007822,               0.007822,               0.007822
                     13,                 1.1406,                0.56476,                 1.1201,                0.96766,                0.94565,                0.96559,                0.66321,                      0,                    inf,                      0,               0.007624,               0.007624,               0.007624
                     14,                 1.1284,                0.54826,                  1.114,                0.98059,                0.95109,                0.97788,                0.68975,                      0,                    inf,                      0,               0.007426,               0.007426,               0.007426
                     15,                 1.1307,                 0.5485,                 1.1126,                0.98151,                0.95217,                0.97396,                0.69211,                      0,                    inf,                      0,               0.007228,               0.007228,               0.007228
                     16,                 1.1273,                0.54832,                 1.1094,                0.98516,                   0.95,                0.97734,                0.68396,                      0,                    inf,                      0,                0.00703,                0.00703,                0.00703
                     17,                 1.1209,                0.53629,                 1.1066,                 0.9854,                0.95358,                0.97897,                0.69013,                      0,                    inf,                      0,               0.006832,               0.006832,               0.006832
                     18,                 1.1015,                0.52238,                  1.101,                0.98209,                 0.9537,                0.97883,                0.69256,                      0,                    inf,                      0,               0.006634,               0.006634,               0.006634
                     19,                 1.1034,                0.51614,                 1.0967,                0.97991,                0.95444,                0.98079,                0.69186,                      0,                    inf,                      0,               0.006436,               0.006436,               0.006436
                     20,                 1.1036,                0.52335,                 1.0988,                0.97931,                0.95652,                0.97846,                0.69422,                      0,                    inf,                      0,               0.006238,               0.006238,               0.006238
                     21,                 1.0952,                0.51169,                 1.0939,                0.98676,                0.95163,                 0.9822,                0.70194,                      0,                    inf,                      0,                0.00604,                0.00604,                0.00604
                     22,                 1.0926,                0.50101,                 1.0905,                 0.9845,                0.95272,                0.98085,                0.68995,                      0,                    inf,                      0,               0.005842,               0.005842,               0.005842
                     23,                 1.0911,                0.50305,                 1.0899,                0.98475,                   0.95,                0.97584,                0.69407,                      0,                    inf,                      0,               0.005644,               0.005644,               0.005644
                     24,                 1.0937,                0.50316,                 1.0969,                0.98596,                0.95442,                0.98326,                0.70303,                      0,                    inf,                      0,               0.005446,               0.005446,               0.005446
                     25,                  1.078,                0.48711,                 1.0868,                0.99038,                0.95122,                0.98096,                 0.6962,                      0,                    inf,                      0,               0.005248,               0.005248,               0.005248
                     26,                 1.0794,                0.48696,                 1.0847,                0.97868,                0.95652,                0.97523,                0.69713,                      0,                    inf,                      0,                0.00505,                0.00505,                0.00505
                     27,                 1.0574,                0.48131,                 1.0739,                0.98006,                0.96141,                0.98183,                0.70265,                      0,                    inf,                      0,               0.004852,               0.004852,               0.004852
                     28,                 1.0665,                0.47806,                 1.0738,                0.97452,                0.95607,                0.97552,                0.69924,                      0,                    inf,                      0,               0.004654,               0.004654,               0.004654
                     29,                 1.0628,                 0.4735,                 1.0765,                0.98376,                0.95501,                0.98294,                0.70755,                      0,                    inf,                      0,               0.004456,               0.004456,               0.004456
                     30,                 1.0505,                0.46789,                 1.0722,                0.98597,                0.95505,                 0.9817,                0.70956,                      0,                    inf,                      0,               0.004258,               0.004258,               0.004258
                     31,                 1.0504,                0.46632,                 1.0646,                0.97932,                0.95978,                0.98169,                0.70105,                      0,                    inf,                      0,                0.00406,                0.00406,                0.00406
                     32,                 1.0447,                0.46007,                 1.0698,                0.98547,                0.95851,                0.98138,                0.70788,                      0,                    inf,                      0,               0.003862,               0.003862,               0.003862
                     33,                 1.0406,                0.45576,                 1.0689,                0.98273,                0.95855,                0.97921,                 0.7055,                      0,                    inf,                      0,               0.003664,               0.003664,               0.003664
                     34,                 1.0427,                0.45559,                 1.0691,                0.98255,                0.95543,                0.98181,                 0.7035,                      0,                    inf,                      0,               0.003466,               0.003466,               0.003466
                     35,                 1.0317,                0.44744,                 1.0611,                0.98169,                0.96175,                0.98547,                0.71317,                      0,                    inf,                      0,               0.003268,               0.003268,               0.003268
                     36,                 1.0341,                0.44235,                 1.0622,                0.98016,                0.96141,                0.98618,                0.71634,                      0,                    inf,                      0,                0.00307,                0.00307,                0.00307
                     37,                 1.0395,                0.44354,                 1.0661,                0.98606,                0.96091,                0.98653,                0.71374,                      0,                    inf,                      0,               0.002872,               0.002872,               0.002872
                     38,                 1.0301,                0.43873,                 1.0619,                0.98779,                0.95978,                0.98305,                0.70974,                      0,                    inf,                      0,               0.002674,               0.002674,               0.002674
                     39,                 1.0224,                0.42975,                 1.0578,                0.97988,                0.96848,                0.98701,                0.71548,                      0,                    inf,                      0,               0.002476,               0.002476,               0.002476
                     40,                 1.0091,                0.39625,                 1.0872,                0.98014,                0.96581,                0.98291,                0.70905,                      0,                    inf,                      0,               0.002278,               0.002278,               0.002278
                     41,                 1.0001,                0.38813,                 1.0842,                0.98553,                0.96262,                0.98754,                0.71468,                      0,                    inf,                      0,                0.00208,                0.00208,                0.00208
                     42,                0.99664,                0.38277,                 1.0812,                0.98889,                 0.9625,                0.98739,                0.72201,                      0,                    inf,                      0,               0.001882,               0.001882,               0.001882
                     43,                0.99074,                0.37503,                 1.0757,                0.98476,                 0.9663,                0.98592,                0.71936,                      0,                    inf,                      0,               0.001684,               0.001684,               0.001684
                     44,                0.98433,                0.36888,                 1.0749,                0.98614,                0.96688,                0.98947,                0.72092,                      0,                    inf,                      0,               0.001486,               0.001486,               0.001486
                     45,                0.97539,                0.36852,                 1.0707,                0.98667,                0.96539,                0.98969,                0.72222,                      0,                    inf,                      0,               0.001288,               0.001288,               0.001288
                     46,                0.97428,                0.36304,                  1.067,                0.98426,                0.96957,                0.98961,                0.71795,                      0,                    inf,                      0,                0.00109,                0.00109,                0.00109
                     47,                0.96672,                0.35494,                 1.0657,                0.98834,                0.96756,                0.98911,                0.71899,                      0,                    inf,                      0,               0.000892,               0.000892,               0.000892
                     48,                 0.9595,                 0.3493,                 1.0605,                0.98199,                0.97065,                0.98881,                0.72143,                      0,                    inf,                      0,               0.000694,               0.000694,               0.000694
                     49,                0.95858,                0.34802,                 1.0593,                0.98645,                0.96467,                0.98759,                0.72402,                      0,                    inf,                      0,               0.000496,               0.000496,               0.000496
